"N" "K_means" "K_sd" "lambda_means" "lambda_sd" "c_means" "c_sd" "fitness_means" "fitness_sd" "r"
"38" 1097 950.000822430018 0.0163661233881096 1.49937651435738 0.0365883628082624 -1.99766557839489 0.03897427703688 0.530417830307099 0.00899395023445862 1.15473584243219
"39" 601 950.001907201806 0.0173979221121946 1.50334022891722 0.0413731044452496 -1.99749523246292 0.0365325466261791 1.49045427407391 0.0357580684827391 0.632630308890876
"40" 883 950.001595231387 0.0173718766559603 1.50343177483563 0.0369173845143935 -1.99839205652879 0.0332451058827545 1.19158384957419 0.00354437883515788 0.929472123449364
"41" 1046 950.00306725966 0.0181737079070931 1.50578259556312 0.0399260740788837 -1.99780350615918 0.0312304472735817 0.685860707322879 0.00553968612465315 1.10104907662798
"42" 753 950.005122743305 0.0219167977511489 1.5053755493165 0.0404531555572537 -1.99731664393678 0.032062433137725 1.4147922101048 0.0188957515576944 0.792627304814506
"43" 1111 950.004468880618 0.0216037726933102 1.50668151347633 0.0400952610414115 -1.99611148653176 0.0335443076795023 0.494241648469969 0.0110375997607271 1.16946818293295
"44" 559 950.005325898553 0.0216840166865771 1.50881730799714 0.0442315924419616 -1.99705301469655 0.0395782247131846 1.5015335608986 0.0396759762921398 0.58841775383867
"45" 882 950.004875642686 0.0228406487185441 1.5123985731319 0.0477042235080906 -1.99776275122302 0.0446274025786164 1.19473534764456 0.00324771380118114 0.928416287762018
"46" 1055 950.004009146465 0.0218841553779961 1.51079377712661 0.0456066938452132 -1.99907656168203 0.0515244523863015 0.657913016244083 0.00853557016426806 1.11052162921699
"47" 672 950.003830591534 0.025669391065705 1.51160484543783 0.0487038179035218 -1.99947223442147 0.0572784872757692 1.47544609170971 0.033540647867332 0.707365568812043
"48" 989 950.004088270989 0.0265069403923229 1.51450329184791 0.0518878893766595 -2.0011136478719 0.0578090554316959 0.873265663384133 0.00298470277096104 1.04104815148741
"49" 881 950.005737867524 0.0277510604751481 1.51439988214689 0.0537029822101899 -1.99841059763919 0.0633028227338231 1.19738083669489 0.00451130245227269 0.927362819910518
"50" 1070 950.00532931416 0.0256196775496295 1.51352356976034 0.0532261439781021 -1.99830117234274 0.0602613423772925 0.612086518849833 0.0118137338338763 1.12630947109788
"51" 635 950.006494182586 0.0264861891503518 1.51347124192694 0.0533891919740836 -1.9959079873855 0.0560115625919362 1.49056080948486 0.0413131582390493 0.668416483348751
"52" 985 950.004820736752 0.0277661175617321 1.51312446858737 0.0511994026213953 -1.99565275735982 0.0569144734491995 0.886673766721762 0.00262870438255097 1.03683684387634
"53" 882 950.004332445332 0.0288925976800764 1.51310922425129 0.0506447408944669 -1.99859508636375 0.060729840307953 1.19479606362787 0.00411351890078252 0.928416818615671
"54" 1030 950.003428818395 0.0317530530892723 1.51369839791003 0.0558916293655521 -1.99706761973617 0.0678059337671566 0.738172708983722 0.00796256281046437 1.08420661310781
"55" 775 950.003624993383 0.0334520116380636 1.51933688607115 0.0615949594805231 -1.99898811070096 0.0714440870640528 1.39598570247648 0.023676346437786 0.815786360820884
"56" 1102 950.003224621933 0.0347157458710051 1.51886560469034 0.0614193837838801 -1.9981917411515 0.072862807547775 0.520589345169397 0.0173816772781267 1.15999606258027
"57" 535 950.005511035881 0.0357654002724153 1.52082818841887 0.0651721482949867 -1.9990391466753 0.0762624311454559 1.51489219048657 0.0603547477500117 0.563154627825936
"58" 822 950.005551377563 0.0381873914261803 1.52473278364427 0.066570618159901 -1.99568426591414 0.0787047251550702 1.32557050064426 0.0146529413093472 0.865258101711145
"59" 1057 950.006942973702 0.0371622978373791 1.52676113304731 0.0681907553711491 -1.9995195682176 0.0806767072682492 0.653376537392107 0.0143379213451097 1.11262344745754
"60" 681 950.008034737236 0.0377768469804763 1.52564357826059 0.0727741587682166 -1.99887853819079 0.0851324865349865 1.48012351981415 0.0493707802085122 0.716836042537639
"61" 1030 950.009284253772 0.0391259453163625 1.53073373953278 0.0752327770172149 -1.99410655028529 0.0864372579519426 0.739626096632406 0.0112258602284878 1.08419993053969
"62" 768 950.010481061493 0.0392062397371468 1.53020844877754 0.0761362961188183 -1.98911897594683 0.087983620660217 1.40792533238367 0.0304580289121201 0.808412133666016
"63" 1064 950.010374752061 0.0403375505407335 1.53265808409152 0.0759875045530983 -1.99795994073863 0.092546136971536 0.632700680447583 0.0176828966530039 1.11998776884693
"64" 676 950.013022538369 0.0400216603576172 1.53423033435045 0.0770968864275954 -1.9928167941465 0.0875122016270052 1.48867523652412 0.0522401457867726 0.711569193224083
"65" 1064 950.014193292443 0.0413402976011353 1.53810733292433 0.0788820176016229 -1.99348245132653 0.0893350319923987 0.634026728848797 0.017838780997039 1.11998326710522
"66" 704 950.018032202415 0.0423451801338265 1.54454073405243 0.0851120806190532 -1.98881934773581 0.0857192699631974 1.47737349815081 0.0506223427343611 0.741038565729038
"67" 1032 950.018843483092 0.0444660000167791 1.54830314600511 0.0872227720403323 -1.98412229110089 0.0900825898894572 0.735484388296331 0.0126526008866446 1.08629424256085
"68" 797 950.020084205526 0.0439938236725592 1.55103386888811 0.0888379268641455 -1.9769905374803 0.088117386966511 1.3736123047131 0.0253970513186721 0.838929632384043
"69" 1098 950.020662710002 0.0453519587559464 1.55533377964639 0.0918515284316749 -1.9770161629735 0.0899736832118455 0.541241919168558 0.0253398057156329 1.15576433555442
"70" 578 950.02412488413 0.0480452320649522 1.56481752253046 0.0958168836633164 -1.96748976778748 0.0913238669331487 1.5476066403207 0.0831941420841449 0.608405602405619
"71" 845 950.027221329481 0.0500769310958017 1.57650128900402 0.0993727965569418 -1.96626980713917 0.0867576017592183 1.28677241979216 0.0134023105070114 0.889448197934261
"72" 1062 950.027419385324 0.0493613449517199 1.57778052834047 0.0990681642628588 -1.96320435195744 0.0897868517452251 0.648610206013829 0.0192959800997399 1.11786247252434
