"K" "lambda" "c" "fitness"
"133" 950 1.5 -2 0.836429646813316
"134" 950 1.5 -2 0.836429646813316
"135" 950 1.5 -2 0.836429646813316
"136" 950 1.5 -2 0.836429646813316
"137" 950 1.5 -2 0.836429646813316
"138" 950 1.5 -2 0.836429646813316
"139" 950 1.5 -2 0.836429646813316
"140" 950 1.5 -2 0.836429646813316
"141" 950 1.5 -2 0.836429646813316
"142" 950 1.5 -2 0.836429646813316
"143" 950 1.5 -2 0.836429646813316
"144" 950 1.5 -2 0.836429646813316
"145" 950 1.5 -2 0.836429646813316
"146" 950 1.5 -2 0.836429646813316
"147" 950 1.5 -2 0.836429646813316
"148" 950 1.5 -2 0.836429646813316
"149" 950 1.5 -2 0.836429646813316
"150" 950 1.5 -2 0.836429646813316
"151" 950 1.5 -2 0.836429646813316
"152" 950 1.5 -2 0.836429646813316
"153" 950 1.5 -2 0.836429646813316
"154" 950 1.5 -2 0.836429646813316
"155" 950 1.5 -2 0.836429646813316
"156" 950 1.5 -2 0.836429646813316
"157" 950 1.5 -2 0.836429646813316
"158" 950 1.5 -2 0.836429646813316
"159" 950 1.5 -2 0.836429646813316
"160" 950 1.5 -2 0.836429646813316
"161" 950 1.5 -2 0.836429646813316
"162" 950 1.5 -2 0.836429646813316
"163" 950 1.5 -2 0.836429646813316
"164" 950 1.5 -2 0.836429646813316
"165" 950 1.5 -2 0.836429646813316
"166" 950 1.5 -2 0.836429646813316
"167" 950 1.5 -2 0.836429646813316
"168" 950 1.5 -2 0.836429646813316
"169" 950 1.5 -2 0.836429646813316
"170" 950 1.5 -2 0.836429646813316
"171" 950 1.5 -2 0.836429646813316
"172" 950 1.5 -2 0.836429646813316
"173" 950 1.5 -2 0.836429646813316
"174" 950 1.5 -2 0.836429646813316
"175" 950 1.5 -2 0.836429646813316
"176" 950 1.5 -2 0.836429646813316
"177" 950 1.5 -2 0.836429646813316
"178" 950 1.5 -2 0.836429646813316
"179" 950 1.5 -2 0.836429646813316
"180" 950 1.5 -2 0.836429646813316
"181" 950 1.5 -2 0.836429646813316
"182" 950 1.5 -2 0.836429646813316
"183" 950 1.5 -2 0.836429646813316
"184" 950 1.5 -2 0.836429646813316
"185" 950 1.5 -2 0.836429646813316
"186" 950 1.5 -2 0.836429646813316
"187" 950 1.5 -2 0.836429646813316
"188" 950 1.5 -2 0.836429646813316
"189" 950 1.5 -2 0.836429646813316
"190" 950 1.5 -2 0.836429646813316
"191" 950 1.5 -2 0.836429646813316
"192" 950 1.5 -2 0.836429646813316
"193" 950 1.5 -2 0.836429646813316
"194" 950 1.5 -2 0.836429646813316
"195" 950 1.5 -2 0.836429646813316
"196" 950 1.5 -2 0.836429646813316
"197" 950 1.5 -2 0.836429646813316
"198" 950 1.5 -2 0.836429646813316
"199" 950 1.5 -2 0.836429646813316
"200" 950 1.5 -2 0.836429646813316
"201" 950 1.5 -2 0.836429646813316
"202" 950 1.5 -2 0.836429646813316
"203" 950 1.5 -2 0.836429646813316
"204" 950 1.5 -2 0.836429646813316
"205" 950 1.5 -2 0.836429646813316
"206" 950 1.5 -2 0.836429646813316
"207" 950 1.5 -2 0.836429646813316
"208" 950 1.5 -2 0.836429646813316
"209" 950 1.5 -2 0.836429646813316
"210" 950 1.5 -2 0.836429646813316
"211" 950 1.5 -2 0.836429646813316
"212" 950 1.5 -2 0.836429646813316
"213" 950 1.5 -2 0.836429646813316
"214" 950 1.5 -2 0.836429646813316
"215" 950 1.5 -2 0.836429646813316
"216" 950 1.5 -2 0.836429646813316
"217" 950 1.5 -2 0.836429646813316
"218" 950 1.5 -2 0.836429646813316
"219" 950 1.5 -2 0.836429646813316
"220" 950 1.5 -2 0.836429646813316
"221" 950 1.5 -2 0.836429646813316
"222" 950 1.5 -2 0.836429646813316
"223" 950 1.5 -2 0.836429646813316
"224" 950 1.5 -2 0.836429646813316
"225" 950 1.5 -2 0.836429646813316
"226" 950 1.5 -2 0.836429646813316
"227" 950 1.5 -2 0.836429646813316
"228" 950 1.5 -2 0.836429646813316
"229" 950 1.5 -2 0.836429646813316
"230" 950 1.5 -2 0.836429646813316
"231" 950 1.5 -2 0.836429646813316
"232" 950 1.5 -2 0.836429646813316
"233" 950 1.5 -2 0.836429646813316
"234" 950 1.5 -2 0.836429646813316
"235" 950 1.5 -2 0.836429646813316
"236" 950 1.5 -2 0.836429646813316
"237" 950 1.5 -2 0.836429646813316
"238" 950 1.5 -2 0.836429646813316
"239" 950 1.5 -2 0.836429646813316
"240" 950 1.5 -2 0.836429646813316
"241" 950 1.5 -2 0.836429646813316
"242" 950 1.5 -2 0.836429646813316
"243" 950 1.5 -2 0.836429646813316
"244" 950 1.5 -2 0.836429646813316
"245" 950 1.5 -2 0.836429646813316
"246" 950 1.5 -2 0.836429646813316
"247" 950 1.5 -2 0.836429646813316
"248" 950 1.5 -2 0.836429646813316
"249" 950 1.5 -2 0.836429646813316
"250" 950 1.5 -2 0.836429646813316
"251" 950 1.5 -2 0.836429646813316
"252" 950 1.5 -2 0.836429646813316
"253" 950 1.5 -2 0.836429646813316
"254" 950 1.5 -2 0.836429646813316
"255" 950 1.5 -2 0.836429646813316
"256" 950 1.5 -2 0.836429646813316
"257" 950 1.5 -2 0.836429646813316
"258" 950 1.5 -2 0.836429646813316
"259" 950 1.5 -2 0.836429646813316
"260" 950 1.5 -2 0.836429646813316
"261" 950 1.5 -2 0.836429646813316
"262" 950 1.5 -2 0.836429646813316
"263" 950 1.5 -2 0.836429646813316
"264" 950 1.5 -2 0.836429646813316
"265" 950 1.5 -2 0.836429646813316
"266" 950 1.5 -2 0.836429646813316
"267" 950 1.5 -2 0.836429646813316
"268" 950 1.5 -2 0.836429646813316
"269" 950 1.5 -2 0.836429646813316
"270" 950 1.5 -2 0.836429646813316
"271" 950 1.5 -2 0.836429646813316
"272" 950 1.5 -2 0.836429646813316
"273" 950 1.5 -2 0.836429646813316
"274" 950 1.5 -2 0.836429646813316
"275" 950 1.5 -2 0.836429646813316
"276" 950 1.5 -2 0.836429646813316
"277" 950 1.5 -2 0.836429646813316
"278" 950 1.5 -2 0.836429646813316
"279" 950 1.5 -2 0.836429646813316
"280" 950 1.5 -2 0.836429646813316
"281" 950 1.5 -2 0.836429646813316
"282" 950 1.5 -2 0.836429646813316
"283" 950 1.5 -2 0.836429646813316
"284" 950 1.5 -2 0.836429646813316
"285" 950 1.5 -2 0.836429646813316
"286" 950 1.5 -2 0.836429646813316
"287" 950 1.5 -2 0.836429646813316
"288" 950 1.5 -2 0.836429646813316
"289" 950 1.5 -2 0.836429646813316
"290" 950 1.5 -2 0.836429646813316
"291" 950 1.5 -2 0.836429646813316
"292" 950 1.5 -2 0.836429646813316
"293" 950 1.5 -2 0.836429646813316
"294" 950 1.5 -2 0.836429646813316
"295" 950 1.5 -2 0.836429646813316
"296" 950 1.5 -2 0.836429646813316
"297" 950 1.5 -2 0.836429646813316
"298" 950 1.5 -2 0.836429646813316
"299" 950 1.5 -2 0.836429646813316
"300" 950 1.5 -2 0.836429646813316
"301" 950 1.5 -2 0.836429646813316
"302" 950 1.5 -2 0.836429646813316
"303" 950 1.5 -2 0.836429646813316
"304" 950 1.5 -2 0.836429646813316
"305" 950 1.5 -2 0.836429646813316
"306" 950 1.5 -2 0.836429646813316
"307" 950 1.5 -2 0.836429646813316
"308" 950 1.5 -2 0.836429646813316
"309" 950 1.5 -2 0.836429646813316
"310" 950 1.5 -2 0.836429646813316
"311" 950 1.5 -2 0.836429646813316
"312" 950 1.5 -2 0.836429646813316
"313" 950 1.5 -2 0.836429646813316
"314" 950 1.5 -2 0.836429646813316
"315" 950 1.5 -2 0.836429646813316
"316" 950 1.5 -2 0.836429646813316
"317" 950 1.5 -2 0.836429646813316
"318" 950 1.5 -2 0.836429646813316
"319" 950 1.5 -2 0.836429646813316
"320" 950 1.5 -2 0.836429646813316
"321" 950 1.5 -2 0.836429646813316
"322" 950 1.5 -2 0.836429646813316
"323" 950 1.5 -2 0.836429646813316
"324" 950 1.5 -2 0.836429646813316
"325" 950 1.5 -2 0.836429646813316
"326" 950 1.5 -2 0.836429646813316
"327" 950 1.5 -2 0.836429646813316
"328" 950 1.5 -2 0.836429646813316
"329" 950 1.5 -2 0.836429646813316
"330" 950 1.5 -2 0.836429646813316
"331" 950 1.5 -2 0.836429646813316
"332" 950 1.5 -2 0.836429646813316
"333" 950 1.5 -2 0.836429646813316
"334" 950 1.5 -2 0.836429646813316
"335" 950 1.5 -2 0.836429646813316
"336" 950 1.5 -2 0.836429646813316
"337" 950 1.5 -2 0.836429646813316
"338" 950 1.5 -2 0.836429646813316
"339" 950 1.5 -2 0.836429646813316
"340" 950 1.5 -2 0.836429646813316
"341" 950 1.5 -2 0.836429646813316
"342" 950 1.5 -2 0.836429646813316
"343" 950 1.5 -2 0.836429646813316
"344" 950 1.5 -2 0.836429646813316
"345" 950 1.5 -2 0.836429646813316
"346" 950 1.5 -2 0.836429646813316
"347" 950 1.5 -2 0.836429646813316
"348" 950 1.5 -2 0.836429646813316
"349" 950 1.5 -2 0.836429646813316
"350" 950 1.5 -2 0.836429646813316
"351" 950 1.5 -2 0.836429646813316
"352" 950 1.5 -2 0.836429646813316
"353" 950 1.5 -2 0.836429646813316
"354" 950 1.5 -2 0.836429646813316
"355" 950 1.5 -2 0.836429646813316
"356" 950 1.5 -2 0.836429646813316
"357" 950 1.5 -2 0.836429646813316
"358" 950 1.5 -2 0.836429646813316
"359" 950 1.5 -2 0.836429646813316
"360" 950 1.5 -2 0.836429646813316
"361" 950 1.5 -2 0.836429646813316
"362" 950 1.5 -2 0.836429646813316
"363" 950 1.5 -2 0.836429646813316
"364" 950 1.5 -2 0.836429646813316
"365" 950 1.5 -2 0.836429646813316
"366" 950 1.5 -2 0.836429646813316
"367" 950 1.5 -2 0.836429646813316
"368" 950 1.5 -2 0.836429646813316
"369" 950 1.5 -2 0.836429646813316
"370" 950 1.5 -2 0.836429646813316
"371" 950 1.5 -2 0.836429646813316
"372" 950 1.5 -2 0.836429646813316
"373" 950 1.5 -2 0.836429646813316
"374" 950 1.5 -2 0.836429646813316
"375" 950 1.5 -2 0.836429646813316
"376" 950 1.5 -2 0.836429646813316
"377" 950 1.5 -2 0.836429646813316
"378" 950 1.5 -2 0.836429646813316
"379" 950 1.5 -2 0.836429646813316
"380" 950 1.5 -2 0.836429646813316
"381" 950 1.5 -2 0.836429646813316
"382" 950 1.5 -2 0.836429646813316
"383" 950 1.5 -2 0.836429646813316
"384" 950 1.5 -2 0.836429646813316
"385" 950 1.5 -2 0.836429646813316
"386" 950 1.5 -2 0.836429646813316
"387" 950 1.5 -2 0.836429646813316
"388" 950 1.5 -2 0.836429646813316
"389" 950 1.5 -2 0.836429646813316
"390" 950 1.5 -2 0.836429646813316
"391" 950 1.5 -2 0.836429646813316
"392" 950 1.5 -2 0.836429646813316
"393" 950 1.5 -2 0.836429646813316
"394" 950 1.5 -2 0.836429646813316
"395" 950 1.5 -2 0.836429646813316
"396" 950 1.5 -2 0.836429646813316
"397" 950 1.5 -2 0.836429646813316
"398" 950 1.5 -2 0.836429646813316
"399" 950 1.5 -2 0.836429646813316
"400" 950 1.5 -2 0.836429646813316
"401" 950 1.5 -2 0.836429646813316
"402" 950 1.5 -2 0.836429646813316
"403" 950 1.5 -2 0.836429646813316
"404" 950 1.5 -2 0.836429646813316
"405" 950 1.5 -2 0.836429646813316
"406" 950 1.5 -2 0.836429646813316
"407" 950 1.5 -2 0.836429646813316
"408" 950 1.5 -2 0.836429646813316
"409" 950 1.5 -2 0.836429646813316
"410" 950 1.5 -2 0.836429646813316
"411" 950 1.5 -2 0.836429646813316
"412" 950 1.5 -2 0.836429646813316
"413" 950 1.5 -2 0.836429646813316
"414" 950 1.5 -2 0.836429646813316
"415" 950 1.5 -2 0.836429646813316
"416" 950 1.5 -2 0.836429646813316
"417" 950 1.5 -2 0.836429646813316
"418" 950 1.5 -2 0.836429646813316
"419" 950 1.5 -2 0.836429646813316
"420" 950 1.5 -2 0.836429646813316
"421" 950 1.5 -2 0.836429646813316
"422" 950 1.5 -2 0.836429646813316
"423" 950 1.5 -2 0.836429646813316
"424" 950 1.5 -2 0.836429646813316
"425" 950 1.5 -2 0.836429646813316
"426" 950 1.5 -2 0.836429646813316
"427" 950 1.5 -2 0.836429646813316
"428" 950 1.5 -2 0.836429646813316
"429" 950 1.5 -2 0.836429646813316
"430" 950 1.5 -2 0.836429646813316
"431" 950 1.5 -2 0.836429646813316
"432" 950 1.5 -2 0.836429646813316
"433" 950 1.5 -2 0.836429646813316
"434" 950 1.5 -2 0.836429646813316
"435" 950 1.5 -2 0.836429646813316
"436" 950 1.5 -2 0.836429646813316
"437" 950 1.5 -2 0.836429646813316
"438" 950 1.5 -2 0.836429646813316
"439" 950 1.5 -2 0.836429646813316
"440" 950 1.5 -2 0.836429646813316
"441" 950 1.5 -2 0.836429646813316
"442" 950 1.5 -2 0.836429646813316
"443" 950 1.5 -2 0.836429646813316
"444" 950 1.5 -2 0.836429646813316
"445" 950 1.5 -2 0.836429646813316
"446" 950 1.5 -2 0.836429646813316
"447" 950 1.5 -2 0.836429646813316
"448" 950 1.5 -2 0.836429646813316
"449" 950 1.5 -2 0.836429646813316
"450" 950 1.5 -2 0.836429646813316
"451" 950 1.5 -2 0.836429646813316
"452" 950 1.5 -2 0.836429646813316
"453" 950 1.5 -2 0.836429646813316
"454" 950 1.5 -2 0.836429646813316
"455" 950 1.5 -2 0.836429646813316
"456" 950 1.5 -2 0.836429646813316
"457" 950 1.5 -2 0.836429646813316
"458" 950 1.5 -2 0.836429646813316
"459" 950 1.5 -2 0.836429646813316
"460" 950 1.5 -2 0.836429646813316
"461" 950 1.5 -2 0.836429646813316
"462" 950 1.5 -2 0.836429646813316
"463" 950 1.5 -2 0.836429646813316
"464" 950 1.5 -2 0.836429646813316
"465" 950 1.5 -2 0.836429646813316
"466" 950 1.5 -2 0.836429646813316
"467" 950 1.5 -2 0.836429646813316
"468" 950 1.5 -2 0.836429646813316
"469" 950 1.5 -2 0.836429646813316
"470" 950 1.5 -2 0.836429646813316
"471" 950 1.5 -2 0.836429646813316
"472" 950 1.5 -2 0.836429646813316
"473" 950 1.5 -2 0.836429646813316
"474" 950 1.5 -2 0.836429646813316
"475" 950 1.5 -2 0.836429646813316
"476" 950 1.5 -2 0.836429646813316
"477" 950 1.5 -2 0.836429646813316
"478" 950 1.5 -2 0.836429646813316
"479" 950 1.5 -2 0.836429646813316
"480" 950 1.5 -2 0.836429646813316
"481" 950 1.5 -2 0.836429646813316
"482" 950 1.5 -2 0.836429646813316
"483" 950 1.5 -2 0.836429646813316
"484" 950 1.5 -2 0.836429646813316
"485" 950 1.5 -2 0.836429646813316
